idx,case_number,source,prompt,sd_seed
829,509807,coco-30k,A kitchen counter with dishes dryin g on the stove,25501
830,486400,coco-30k,A young woman on a beach flying a kite,70111
831,331686,coco-30k,an image of a group of policeman on motorcylces,92428
832,570138,coco-30k,"A bathroom with a sink, toilet, and vanity.",26580
833,439837,coco-30k,This kitchen has a blue sink with many plants hanging around,50026
834,568717,coco-30k,"A very roomy, clean kitchen in green and white tile. ",59840
835,263700,coco-30k,A citizen stands pointing to a Police motorcycle as the cop looks on. ,43159
836,463825,coco-30k,A cat climbing into a bathroom sink looking at someone,30811
837,202228,coco-30k,The reflection of a man taking  a picture in a mirror,81104
838,194832,coco-30k,A television screen is displayed in an empty bus.,7560
839,541783,coco-30k,Blurred image of motorized scooters on a wooded road.,99603
840,392320,coco-30k,mANY CHEFS WORK ON COOKING FOOD IN THE KITCHEN.,36860
841,89391,coco-30k,A small bath room with a sink and toilet.,49301
842,173530,coco-30k,A Ford Mustang next to a brown horse.,76553
843,147518,coco-30k,A bathroom that has magazine rack and small cabinet.,48113
844,22718,coco-30k,The airplane flies low to the ground during sunset.,76120
845,95736,coco-30k,A house's address is visible through a cracked windshield.,60456
846,117458,coco-30k,A man is riding with a box on the back of his bike.,65751
847,569652,coco-30k,a stainless steel tabletop covered in dinnerware in a kitchen,98806
848,347740,coco-30k,A bathroom is photographed with a fisheye filter.,9116
849,284153,coco-30k,a bathroom with a bath tub a toilet and a sink,96946
850,566038,coco-30k,A bird sits on an outside windowsill overlooking a parking lot.,15712
851,46011,coco-30k,a small air plane on an air plane run way,48625
852,543203,coco-30k,"Passenger air planes parked at an airport, overcast weather.",20584
853,295756,coco-30k,Six white pedestals sinks sitting by the wall in a bathroom.,10399
854,26522,coco-30k,Extremely modern bathroom renovation with wood and porcelain,32460
855,427796,coco-30k,a table with pots and pitchers with knives in a cupboard,94884
856,581654,coco-30k,A dog approaches two sheep in front of onlookers.,8030
857,571518,coco-30k,All of the bunches of bananas are yellow and ripe.,8632
858,254172,coco-30k,"A woman with a giraffe , parrot and kangaroo near the eiffel tower",86494
859,304447,coco-30k,Cats in a bathroom playing with the toilet paper,44172
860,135116,coco-30k,A furry long haired dog standing near a car,92859
861,332607,coco-30k,A girl sitting on a kitchen counter drinking wine.,47754
862,146112,coco-30k,A man standing next to a bike inside of a building.,27579
863,535483,coco-30k,A woman is riding a bike with something in her hand. ,94955
864,315191,coco-30k,An airplane doing maneuvers with white smoke pouring out of it's back end.,50190
865,105177,coco-30k,A simple white residential kitchen with breakfast bar,79885
866,453093,coco-30k,A bathroom that has recently been tiled and grouted,18354
867,72810,coco-30k,A bicycle parked next to a snow covered park bench.,17309
868,337044,coco-30k,A man standing next to a dog near a sheep penn.,26499
869,391371,coco-30k,A silver park bench is in the park ,90489
870,541274,coco-30k,A group of giraffe standing next to each other by tall trees.,25723
871,3661,coco-30k,A bunch of bananas sitting on top of a wooden table.,41596
872,7288,coco-30k,A white toilet bowl with an electronic brown seat.,44872
873,410350,coco-30k,Two cooks standing at the counter on a kithchen next to bottles.,89009
874,449466,coco-30k,A man prepares food in a restaurant kitchen.,34824
875,150144,coco-30k,A woman in vintage clothing carrying an umbrella,4818
876,111076,coco-30k,A bathroom with a sink and toilet and a window.,45834
877,173350,coco-30k,Two dogs are looking up while they stand near the toilet in the bathroom.,9017
878,579593,coco-30k,A giraffe walking through dead bushes and grass.,78292
879,150538,coco-30k,A lone man sitting on a bench on hill next to a large tree,554
880,560373,coco-30k,A tan dog with sky blue eyes posing for a picture with a man sitting on a chair in the background.,71222
881,133503,coco-30k,A double decker bus driving while it snows.,17813
882,562150,coco-30k,A little girl holding a kitten next to a blue fence.,69922
883,347925,coco-30k,Two giraffes standing beside each other next to a fence.,57146
884,385181,coco-30k,A white dish with a tomato based casserole,30400
885,200365,coco-30k,A plate with two hot dogs and a cup of coke on a table next to a bike.,60795
886,543660,coco-30k,A public rest room with a black and white checkered floor.,88691
887,378727,coco-30k,Person on motorbike  with speed detector showing 26.,99208
888,541086,coco-30k,An ornate vase with a handle sitting on a table.,94681
889,558642,coco-30k,a bowl of fruit and pastry on a table,53318
890,147740,coco-30k,A woman walking while carrying bananas on her hat.,81172
891,255654,coco-30k,"Commode scene, probably commercial establishment, outside of USA.",49247
892,436130,coco-30k,A small kitchen cluttered with a variety of kitchen items.,3581
893,561578,coco-30k,a brick clock tower in the middle of a street,5279
894,178084,coco-30k,A motorcycle being held up slightly by its back tire.,84379
895,43997,coco-30k,A row of wall mounted sinks in a restroom.,61206
896,91263,coco-30k,A woman making sandwiches on a kitchen counter top.,29511
897,312175,coco-30k,A woman standing outside with her black luggage.,45383
898,553588,coco-30k,A tall building with a lot of windows and a clock. ,64722
899,99425,coco-30k,A large crowd of motorcycle enthusiasts at a motorcycle event.,67507
900,303321,coco-30k,A biker with a helmet on is standing behind two motorcycles.,63345
901,497504,coco-30k,A walkway suspended over a street with a clock mounted to it.,88794
902,84064,coco-30k,A bathroom with white tile and a beige toilet.   ,21354
903,31019,coco-30k,A crowd of people walking down a street next to a traffic light.,14742
904,423769,coco-30k,A green bathroom with a mirror and a pink sink.,36046
905,35525,coco-30k,Man in a restaurant kitchen preparing a meal.,5038
906,465664,coco-30k,A 787 Jet Airplane sitting on a runway at an airport.,76609
907,127668,coco-30k,A large truck drives up to an airplane.,75226
908,85632,coco-30k,A small bathroom with a white toilet sitting next to a sink.,51381
909,167724,coco-30k,A woman holding a big spoon while cooking spaghetti.,89410
910,243204,coco-30k,A person is holding a spatula near slices of bread on a stove.,1477
911,375916,coco-30k,A compact bathroom with vessel sink and toilet.,48092
912,177101,coco-30k,A plane is sitting on the tarmac as the sun rises or sets.,67888
913,93703,coco-30k,a white and blue jet is flying in some clouds,10547
914,512334,coco-30k,An airplane sitting in front of a group of people.,99128
915,43092,coco-30k,a computer on a desk surrounded by papers,23231
916,340511,coco-30k,A kitchen filled with pots and pans under a microwave.,45729
917,415874,coco-30k,"A pizza sitting on top of a table with olives, sausage and cheese.",46687
918,556230,coco-30k,a kitchen has a chrome stove and oven with white cabinets.,60505
919,394517,coco-30k,a shower door a sink a mirror and an outlet,37475
920,368900,coco-30k,A cluttered room filled with a tv and a kitchen. ,91948
921,263687,coco-30k,a person in an office setting sitting in a chair,65704
922,426053,coco-30k,a bathroom with a toilet and a sink,21040
923,271970,coco-30k,A small white church with a clock on the side of it's tower sitting on the end of a street ,77633
924,5412,coco-30k,a light brown bathroom with drawers sink and toilet,74648
925,471488,coco-30k,Two motorcyclists driving on a street with parked vehicles.,63683
926,356145,coco-30k,two people with a motorcycle and trailer parked by a waterfall.,92204
927,234590,coco-30k,"a bathroom with towels , lights, and a sink that is clean ",57312
928,94745,coco-30k,Young man holding a tennis racket while standing in front of a fence.,10863
929,320249,coco-30k,THERE IS A MOTORCYLCE WITH PEOPLE STANDING ON THE SIDE OF THE STREET ,17837
930,401623,coco-30k,A nice shower has a glass enclosure and sliding door,85648
931,204507,coco-30k,THERE ARE TWO PEOPLE THAT ARE STANDING TOGETHER ,38545
932,241888,coco-30k,"Two toilet stall, one blue and the other orange.",17646
933,413096,coco-30k,A plane on the runway is being led by a tow cart,571
934,380756,coco-30k,A herd of sheep is on the side of the road and a bus drives through.,17886
935,334291,coco-30k,A woman cooks dinner while three people stand at a counter in the kitchen.,1401
936,14921,coco-30k,There are pictures of flowers in the bathroom.,50485
937,454203,coco-30k,"A long, narrow yellow kitchen with black and white floor tiles.",59753
938,51844,coco-30k,four lambs grazing in a fenced in pasture,25735
939,214192,coco-30k,two motocross racers in the middle of a race,9208
940,53838,coco-30k,A large plane flies in the sky while a reflection shines from the wings.,33369
941,134096,coco-30k,A calico cat drinking from a sink faucet.,74099
942,441586,coco-30k,"MAN ON A CONTRAPTION, SURROUNDED BY A BICYCLE AND ANOTHER PERSON",17318
943,515289,coco-30k,People riding bicycles down the road approaching a bird.,50751
944,488755,coco-30k,Two skiers trekking across the terrain in the snow,15408
945,262394,coco-30k,Motorcycle parked along the street next to a building.,42565
946,570349,coco-30k,"BLACK, BLUE, WHITE, RED, ORANGE RED AND YELLOW AIRPLANE",21818
947,309022,coco-30k,A commercial stainless kitchen with a pot of food cooking. ,92142
948,345389,coco-30k, A tall woman is standing in a small kitchen,61
949,352000,coco-30k,The large mirror has bright lighting behind it.,79700
950,299042,coco-30k,Two sheep are standing side by side behind a fence.,14085
951,280320,coco-30k,Urinals lined up along one wall with a handicap accessible one at the end.,14043
952,565296,coco-30k,Long counter in center of room surrounded by grocery cases.,12474
953,484723,coco-30k,Lovingly restored antique double decker buses in London,34621
954,483994,coco-30k,Sheep are standing on a platform with a dog behind them.,73032
955,425221,coco-30k,A plane is flying away from the airport,97186
956,363048,coco-30k,There are two people riding on a motorcycle together,55489
957,195267,coco-30k,A person in a red sweatshirt on a motorcycle,57452
958,86426,coco-30k,A computer screen is lit up on a computer desk.,72763
959,2061,coco-30k,A public restroom with a  garbage can and shower hose,53681
960,183895,coco-30k,People watching a plane take off from a runway.,10092
961,181524,coco-30k,A gas station and a traffic light. ,19108
962,438999,coco-30k,Food and a spoon sit on a plate on a table.,37185
963,402626,coco-30k,A dog chasing several sheep through a pasture.,32940
964,65258,coco-30k,A makeshift tent is constructed at a camp site.,26765
965,165750,coco-30k,A shower curtain is pulled back in a bathroom. ,4627
966,507958,coco-30k,A kitchen with oak cabinetry  and white appliances,32877
967,57454,coco-30k,A bathroom with urinals that have graffiti above them,14769
968,556345,coco-30k,A welcome sign over a road with cars driving underneath,53813
969,102668,coco-30k,A large white bus drives through an intersection. ,85749
970,24061,coco-30k,A picture of a bathroom with a sink and tolet.,88368
971,163155,coco-30k,A cat crouched over sitting by a brick wall.,22868
972,504900,coco-30k,A man sitting on a couch with a dog on his lap,22141
973,315868,coco-30k,A motorcycle parked next to street with little to no traffic.,34297
974,578632,coco-30k,A cat sitting on the hood of a car.,91634
975,557135,coco-30k,A large empty bathroom with a walk in shower tub.,35764
976,216497,coco-30k,Some chairs sit at an island near an open door. ,57376
977,107922,coco-30k,A person sits at a table in a kitchen. ,47607
978,339974,coco-30k,A traffic signal sitting next to a street at night.,19927
979,54305,coco-30k,A giraffe walks through a line of cars in a parking lot.,13256
980,560367,coco-30k,A white toilet sitting next to a toilet paper roller in a bathroom.,56810
981,563311,coco-30k,An old wooden steeple with a clock on it,69569
982,448765,coco-30k,A restroom with two toilets sitting side by side.,73756
983,525344,coco-30k,A large Delta passenger jet being prepared for take off from an airport runway.,80147
984,79878,coco-30k,The interior of a bathroom with crumpled and torn toilet paper on the floor along with a toilet roll that has been pulled.,48065
985,515266,coco-30k,A white truck parked next to a white trailer.,68314
986,41271,coco-30k,Two cats eating food from bowls on a black and white checkered tile floor.,11995
987,360564,coco-30k,A walk in shower next to a toilet with a wooden seat.,4566
988,497969,coco-30k,A crowd of bikers driving down a street next to tall buildings.,45691
989,151911,coco-30k,A blurry photo of a kitchen and a dining room.,32805
990,142261,coco-30k,A young woman stands by the post with a pink umbrella.,27964
991,344488,coco-30k,A modern kitchen that is bright and painted blue and yellow.,18403
992,360573,coco-30k,A man standing next to a set of piked motorcycles.,33593
993,267135,coco-30k,A modern style wooden kitchen with multi layered counters.,73406
994,348140,coco-30k,An intracately designed boat on a river bank.,56456
995,290521,coco-30k,A herd of sheep walking on a cluster of dry grass.,56018
996,550864,coco-30k,"A modern kitchen with stainless steel fridge, wooden cabinets, and overhead lighting is separated from the dining room by a bar.",11245
997,190734,coco-30k,A kitchen with a washer sitting next to a metal sink.,21163
998,523373,coco-30k,A table full of vegetables and fruits  piled on top of each other.,16379
999,489248,coco-30k,A man sitting on a park bench next to a herd of sheep.,26395
